报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),427338,324697,274342,232462,199633,170972,139818,125266,
营业收入(万元),427338,324697,274342,232462,199633,170972,139818,125266,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),369370,259926,219537,192581,170908,151699,121931,104562,
营业成本(万元),304613,204389,177133,153066,135701,120370,97187,81552,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),14444,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),1543,1184,811,462,434,372,275,367,
销售费用(万元),23831,19081,17731,15229,14319,12435,9932,8710,
管理费用(万元),26429,29583,24298,21617,17279,15016,11786,10589,
财务费用(万元),-3598,4323,-1362,529,2618,3552,2733,3403,
资产减值损失(万元),2109,1366,928,1679,557,-46,17,-59,
公允价值变动收益(万元),-2745,1080,1390,-1353,-1934,501,442,408,
投资收益(万元),3272,221,-3403,118,1035,1943,273,415,
对联营企业和合营企业的投资收益(万元),62,125,5,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),60579,67791,52792,38646,27826,21717,18602,21526,
营业外收入(万元),2065,2053,3051,2325,2003,1879,1924,1896,
营业外支出(万元),210,134,162,904,85,98,230,105,
非流动资产处置损失(万元),--,--,35,11,33,89,195,71,
利润总额(万元),62434,69711,55680,40067,29745,23498,20297,23317,
所得税费用(万元),6674,11505,11244,8321,6982,5999,5480,5716,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),55760,58206,44436,31746,22763,17498,14817,17601,
归属于母公司所有者的净利润(万元),55813,58178,44451,31726,22786,17609,14774,17529,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),-52,28,-15,20,-24,-111,43,72,
基本每股收益,1.36,1.53,1.23,0.88,0.62,0.98,0.82,0.97,
稀释每股收益,1.36,1.53,1.23,0.88,0.62,0.98,0.82,0.97,
